sample_id,label,class_name,n_poles,n_zeros
0,0,lowpass,6,6
1,1,highpass,4,4
2,2,bandpass,4,4
3,3,bandstop,4,4
4,4,allpass,6,6
5,0,lowpass,8,8
6,1,highpass,8,8
7,2,bandpass,8,8
8,3,bandstop,6,6
9,4,allpass,6,6
10,0,lowpass,2,2
11,1,highpass,8,8
12,2,bandpass,8,8
13,3,bandstop,2,2
14,4,allpass,8,8
15,0,lowpass,8,8
16,1,highpass,8,8
17,2,bandpass,8,8
18,3,bandstop,2,2
19,4,allpass,6,6
20,0,lowpass,4,4
21,1,highpass,8,8
22,2,bandpass,2,2
23,3,bandstop,8,8
24,4,allpass,6,6
25,0,lowpass,8,8
26,1,highpass,6,6
27,2,bandpass,4,4
28,3,bandstop,2,2
29,4,allpass,8,8
30,0,lowpass,6,6
31,1,highpass,6,6
32,2,bandpass,8,8
33,3,bandstop,6,6
34,4,allpass,8,8
35,0,lowpass,2,2
36,1,highpass,8,8
37,2,bandpass,8,8
38,3,bandstop,2,2
39,4,allpass,2,2
40,0,lowpass,8,8
41,1,highpass,2,2
42,2,bandpass,8,8
43,3,bandstop,6,6
44,4,allpass,8,8
45,0,lowpass,2,2
46,1,highpass,6,6
47,2,bandpass,2,2
48,3,bandstop,2,2
49,4,allpass,4,4
50,0,lowpass,2,2
51,1,highpass,8,8
52,2,bandpass,4,4
53,3,bandstop,2,2
54,4,allpass,2,2
55,0,lowpass,2,2
56,1,highpass,4,4
57,2,bandpass,4,4
58,3,bandstop,8,8
59,4,allpass,8,8
60,0,lowpass,4,4
61,1,highpass,2,2
62,2,bandpass,6,6
63,3,bandstop,6,6
64,4,allpass,4,4
65,0,lowpass,6,6
66,1,highpass,2,2
67,2,bandpass,4,4
68,3,bandstop,6,6
69,4,allpass,2,2
70,0,lowpass,8,8
71,1,highpass,8,8
72,2,bandpass,6,6
73,3,bandstop,6,6
74,4,allpass,8,8
75,0,lowpass,8,8
76,1,highpass,2,2
77,2,bandpass,8,8
78,3,bandstop,8,8
79,4,allpass,6,6
80,0,lowpass,8,8
81,1,highpass,8,8
82,2,bandpass,8,8
83,3,bandstop,2,2
84,4,allpass,2,2
85,0,lowpass,4,4
86,1,highpass,6,6
87,2,bandpass,8,8
88,3,bandstop,6,6
89,4,allpass,8,8
90,0,lowpass,8,8
91,1,highpass,8,8
92,2,bandpass,6,6
93,3,bandstop,2,2
94,4,allpass,2,2
95,0,lowpass,6,6
96,1,highpass,4,4
97,2,bandpass,8,8
98,3,bandstop,2,2
99,4,allpass,2,2
100,0,lowpass,4,4
101,1,highpass,4,4
102,2,bandpass,6,6
103,3,bandstop,6,6
104,4,allpass,2,2
105,0,lowpass,4,4
106,1,highpass,6,6
107,2,bandpass,8,8
108,3,bandstop,8,8
109,4,allpass,2,2
110,0,lowpass,2,2
111,1,highpass,6,6
112,2,bandpass,6,6
113,3,bandstop,8,8
114,4,allpass,4,4
115,0,lowpass,2,2
116,1,highpass,4,4
117,2,bandpass,6,6
118,3,bandstop,8,8
119,4,allpass,8,8
120,0,lowpass,4,4
121,1,highpass,8,8
122,2,bandpass,4,4
123,3,bandstop,8,8
124,4,allpass,2,2
125,0,lowpass,2,2
126,1,highpass,2,2
127,2,bandpass,2,2
128,3,bandstop,4,4
129,4,allpass,4,4
130,0,lowpass,8,8
131,1,highpass,6,6
132,2,bandpass,8,8
133,3,bandstop,8,8
134,4,allpass,4,4
135,0,lowpass,2,2
136,1,highpass,6,6
137,2,bandpass,8,8
138,3,bandstop,4,4
139,4,allpass,8,8
140,0,lowpass,8,8
141,1,highpass,2,2
142,2,bandpass,4,4
143,3,bandstop,6,6
144,4,allpass,2,2
145,0,lowpass,2,2
146,1,highpass,2,2
147,2,bandpass,4,4
148,3,bandstop,6,6
149,4,allpass,2,2
150,0,lowpass,8,8
151,1,highpass,2,2
152,2,bandpass,8,8
153,3,bandstop,4,4
154,4,allpass,8,8
155,0,lowpass,4,4
156,1,highpass,4,4
157,2,bandpass,6,6
158,3,bandstop,2,2
159,4,allpass,8,8
160,0,lowpass,6,6
161,1,highpass,6,6
162,2,bandpass,2,2
163,3,bandstop,6,6
164,4,allpass,6,6
165,0,lowpass,2,2
166,1,highpass,6,6
167,2,bandpass,6,6
168,3,bandstop,4,4
169,4,allpass,8,8
170,0,lowpass,8,8
171,1,highpass,4,4
172,2,bandpass,8,8
173,3,bandstop,4,4
174,4,allpass,4,4
175,0,lowpass,6,6
176,1,highpass,2,2
177,2,bandpass,6,6
178,3,bandstop,2,2
179,4,allpass,4,4
180,0,lowpass,6,6
181,1,highpass,2,2
182,2,bandpass,4,4
183,3,bandstop,8,8
184,4,allpass,6,6
185,0,lowpass,4,4
186,1,highpass,2,2
187,2,bandpass,6,6
188,3,bandstop,6,6
189,4,allpass,6,6
190,0,lowpass,2,2
191,1,highpass,2,2
192,2,bandpass,6,6
193,3,bandstop,6,6
194,4,allpass,6,6
195,0,lowpass,8,8
196,1,highpass,4,4
197,2,bandpass,6,6
198,3,bandstop,6,6
199,4,allpass,4,4
200,0,lowpass,8,8
201,1,highpass,2,2
202,2,bandpass,8,8
203,3,bandstop,4,4
204,4,allpass,8,8
205,0,lowpass,4,4
206,1,highpass,2,2
207,2,bandpass,8,8
208,3,bandstop,8,8
209,4,allpass,6,6
210,0,lowpass,8,8
211,1,highpass,6,6
212,2,bandpass,4,4
213,3,bandstop,2,2
214,4,allpass,8,8
215,0,lowpass,2,2
216,1,highpass,2,2
217,2,bandpass,2,2
218,3,bandstop,8,8
219,4,allpass,8,8
220,0,lowpass,4,4
221,1,highpass,4,4
222,2,bandpass,4,4
223,3,bandstop,2,2
224,4,allpass,4,4
225,0,lowpass,2,2
226,1,highpass,6,6
227,2,bandpass,2,2
228,3,bandstop,8,8
229,4,allpass,4,4
230,0,lowpass,2,2
231,1,highpass,6,6
232,2,bandpass,4,4
233,3,bandstop,8,8
234,4,allpass,4,4
235,0,lowpass,2,2
236,1,highpass,8,8
237,2,bandpass,2,2
238,3,bandstop,8,8
239,4,allpass,4,4
240,0,lowpass,8,8
241,1,highpass,6,6
242,2,bandpass,4,4
243,3,bandstop,8,8
244,4,allpass,8,8
245,0,lowpass,6,6
246,1,highpass,8,8
247,2,bandpass,2,2
248,3,bandstop,2,2
249,4,allpass,2,2
250,0,lowpass,4,4
251,1,highpass,2,2
252,2,bandpass,2,2
253,3,bandstop,2,2
254,4,allpass,2,2
255,0,lowpass,6,6
256,1,highpass,2,2
257,2,bandpass,8,8
258,3,bandstop,4,4
259,4,allpass,8,8
260,0,lowpass,8,8
261,1,highpass,4,4
262,2,bandpass,2,2
263,3,bandstop,4,4
264,4,allpass,4,4
265,0,lowpass,2,2
266,1,highpass,6,6
267,2,bandpass,4,4
268,3,bandstop,8,8
269,4,allpass,8,8
270,0,lowpass,6,6
271,1,highpass,4,4
272,2,bandpass,2,2
273,3,bandstop,4,4
274,4,allpass,8,8
275,0,lowpass,2,2
276,1,highpass,8,8
277,2,bandpass,8,8
278,3,bandstop,2,2
279,4,allpass,4,4
280,0,lowpass,8,8
281,1,highpass,8,8
282,2,bandpass,2,2
283,3,bandstop,2,2
284,4,allpass,6,6
285,0,lowpass,4,4
286,1,highpass,2,2
287,2,bandpass,2,2
288,3,bandstop,8,8
289,4,allpass,2,2
290,0,lowpass,4,4
291,1,highpass,6,6
292,2,bandpass,6,6
293,3,bandstop,8,8
294,4,allpass,6,6
295,0,lowpass,6,6
296,1,highpass,8,8
297,2,bandpass,6,6
298,3,bandstop,8,8
299,4,allpass,6,6
300,0,lowpass,8,8
301,1,highpass,6,6
302,2,bandpass,4,4
303,3,bandstop,2,2
304,4,allpass,2,2
305,0,lowpass,6,6
306,1,highpass,8,8
307,2,bandpass,6,6
308,3,bandstop,6,6
309,4,allpass,6,6
310,0,lowpass,8,8
311,1,highpass,6,6
312,2,bandpass,2,2
313,3,bandstop,4,4
314,4,allpass,2,2
315,0,lowpass,4,4
316,1,highpass,2,2
317,2,bandpass,2,2
318,3,bandstop,6,6
319,4,allpass,6,6
320,0,lowpass,4,4
321,1,highpass,4,4
322,2,bandpass,6,6
323,3,bandstop,6,6
324,4,allpass,8,8
325,0,lowpass,2,2
326,1,highpass,4,4
327,2,bandpass,2,2
328,3,bandstop,4,4
329,4,allpass,4,4
330,0,lowpass,8,8
331,1,highpass,2,2
332,2,bandpass,4,4
333,3,bandstop,8,8
334,4,allpass,6,6
335,0,lowpass,6,6
336,1,highpass,8,8
337,2,bandpass,4,4
338,3,bandstop,4,4
339,4,allpass,6,6
340,0,lowpass,6,6
341,1,highpass,4,4
342,2,bandpass,2,2
343,3,bandstop,8,8
344,4,allpass,6,6
345,0,lowpass,8,8
346,1,highpass,4,4
347,2,bandpass,8,8
348,3,bandstop,2,2
349,4,allpass,2,2
350,0,lowpass,2,2
351,1,highpass,6,6
352,2,bandpass,6,6
353,3,bandstop,8,8
354,4,allpass,4,4
355,0,lowpass,8,8
356,1,highpass,6,6
357,2,bandpass,2,2
358,3,bandstop,6,6
359,4,allpass,2,2
360,0,lowpass,4,4
361,1,highpass,8,8
362,2,bandpass,8,8
363,3,bandstop,2,2
364,4,allpass,2,2
365,0,lowpass,8,8
366,1,highpass,4,4
367,2,bandpass,2,2
368,3,bandstop,2,2
369,4,allpass,8,8
370,0,lowpass,6,6
371,1,highpass,4,4
372,2,bandpass,2,2
373,3,bandstop,6,6
374,4,allpass,4,4
375,0,lowpass,4,4
376,1,highpass,8,8
377,2,bandpass,4,4
378,3,bandstop,4,4
379,4,allpass,8,8
380,0,lowpass,4,4
381,1,highpass,2,2
382,2,bandpass,2,2
383,3,bandstop,4,4
384,4,allpass,2,2
385,0,lowpass,8,8
386,1,highpass,4,4
387,2,bandpass,8,8
